tgv_ref,cible_ref,cible_intitule,relation,justification
IA1,A.8.2,System documentation and information for users,tgv_plus_etroit,La mention explicite du recours à l'IA dans la documentation alimente l'information à fournir aux utilisateurs du système.
IA10,A.6.2.4,AI system verification and validation,tgv_plus_etroit,La stratégie d'évaluation des résultats avec métriques (vrais/faux positifs et négatifs) documente la validation du modèle.
IA11,A.6.2.4,AI system verification and validation,tgv_plus_etroit,Le rapport sur la variabilité des résultats de l'IA générative est une preuve de validation du comportement du système.
IA12,A.6.2.4,AI system verification and validation,tgv_plus_etroit,Les tests d'injection de requêtes malveillantes relèvent de la vérification de la robustesse du système d'IA.
IA13,A.9.4,Intended use of the AI system,tgv_plus_etroit,La documentation de l'utilisation envisagée et des conditions de contexte requises correspond à la documentation de l'usage prévu du système.
IA14,A.8.2,System documentation and information for users,tgv_plus_etroit,"La documentation des limitations, mises en garde et éléments à surveiller alimente l'information à fournir aux utilisateurs."
IA15,A.6.1.3,Processes for responsible AI system design and development,tgv_plus_etroit,"Les mesures documentées d'identification, d'atténuation et de suivi des biais en développement relèvent des processus de conception responsable."
IA16,A.9.4,Intended use of the AI system,tgv_plus_etroit,La documentation des utilisations non recommandées et des contextes à exclure précise l'usage prévu du système et ses limites.
IA17,A.4.3,Data resources,tgv_plus_etroit,"La liste accessible des jeux de données d'entraînement, de validation et de tests documente les ressources de données du système."
IA18,A.6.2.7,AI system technical documentation,tgv_plus_etroit,"La mention des types d'IA utilisés (symbolique, apprentissage, générative) alimente la documentation technique du système."
IA19,A.8.5,Information for interested parties,tgv_plus_etroit,"Le rapport sur les implantations précédentes (défis, bénéfices, risques, indicateurs) fournit à l'acquéreur une information pertinente sur le système."
IA2,A.8.5,Information for interested parties,tgv_plus_etroit,La publication d'une politique de confidentialité couvrant le système d'IA en langage clair fournit l'information due aux parties intéressées.
IA20,A.6.2.5,AI system deployment,tgv_plus_etroit,L'engagement à ne pas changer les types d'IA ou les modèles sans approbation de l'acquéreur relève du contrôle des déploiements et changements en production.
IA21,A.6.2.6,AI system operation and monitoring,recoupement_partiel,Le plan d'amélioration et d'évolution avec la rigueur de la vérification initiale recoupe la gestion de l'exploitation et des mises à jour du système.
IA22,A.6.2.6,AI system operation and monitoring,tgv_plus_etroit,Le processus d'évaluation continue post-implantation fondé sur les risques correspond à la surveillance du système en exploitation.
IA23,A.6.2.6,AI system operation and monitoring,recoupement_partiel,"La réévaluation périodique (anonymisation, explicabilité, gouvernance, modèles) recoupe la surveillance et l'amélioration du système en exploitation."
IA24,A.6.2.7,AI system technical documentation,tgv_plus_etroit,"La description de l'architecture, des concepts et des techniques d'IA utilisées alimente la documentation technique du système."
IA25,A.8.2,System documentation and information for users,tgv_plus_etroit,La formation ou documentation sur le fonctionnement du système et le rôle de vérificateur de l'utilisateur alimente l'information destinée aux utilisateurs.
IA26,A.5.5,Assessing societal impacts of AI systems,tgv_plus_etroit,La documentation de l'empreinte environnementale du développement et de l'utilisation alimente l'évaluation des impacts sociétaux du système.
IA27,A.7.6,Data preparation,tgv_plus_etroit,La documentation des méthodes et critères d'anonymisation et de dépersonnalisation relève de la préparation des données du système.
IA28,A.8.2,System documentation and information for users,tgv_plus_etroit,La vulgarisation des mesures d'atténuation des risques pour non-spécialistes alimente l'information fournie aux utilisateurs.
IA29,A.5.5,Assessing societal impacts of AI systems,tgv_plus_etroit,La description des mesures de minimisation des répercussions environnementales alimente l'évaluation des impacts sociétaux du système.
IA3,A.8.2,System documentation and information for users,tgv_plus_etroit,"L'établissement documenté des raisons, facteurs et paramètres des décisions automatisées alimente la documentation destinée aux utilisateurs."
IA30,A.6.2.6,AI system operation and monitoring,tgv_plus_etroit,La description des modalités de contrôle et de surveillance des agents autonomes relève de la surveillance du système en exploitation.
IA30,A.8.4,Communication of incidents,tgv_plus_etroit,Les modalités de communication d'incidents à l'acquéreur correspondent à la communication des incidents liés à l'IA.
IA31,A.7.2,Data for development and enhancement of AI system,tgv_plus_etroit,La justification documentée de l'usage et de la représentativité des données synthétiques relève de la gestion des données de développement.
IA32,A.7.2,Data for development and enhancement of AI system,tgv_plus_etroit,"La méthodologie documentée de constitution de jeux distincts d'entraînement, de validation et de tests relève de la gestion des données de développement."
IA33,A.5.2,AI system impact assessment process,recoupement_partiel,La collaboration avec des chercheurs en IA responsable et un comité d'utilisateurs pour l'analyse de risques recoupe le processus d'évaluation d'impact du système.
IA34,8.2,AI risk assessment,recoupement_partiel,"La tenue d'un registre des risques issus de la SARIA, de ses modèles et de ses jeux de données recoupe l'évaluation des risques IA menée à intervalles planifiés."
IA35,A.8.5,Information for interested parties,tgv_plus_etroit,L'engagement à communiquer tout nouveau risque à l'acquéreur fournit l'information due aux parties intéressées.
IA36,A.7.4,Quality of data for AI systems,tgv_plus_etroit,L'engagement à exclure des jeux de données corrompus ou compromis protège la qualité des données d'entraînement.
IA37,A.7.4,Quality of data for AI systems,tgv_plus_etroit,La surveillance des événements pouvant compromettre l'intégrité des jeux de données d'entraînement maintient la qualité des données du système.
IA37,A.8.4,Communication of incidents,tgv_plus_etroit,L'information de l'acquéreur en cas de compromission des jeux de données correspond à la communication d'incidents liés à l'IA.
IA38,A.7.3,Acquisition of data,tgv_plus_etroit,"L'acquisition des droits sur les jeux de données d'entraînement, notamment les renseignements personnels, relève du contrôle de l'acquisition des données."
IA4,A.8.5,Information for interested parties,tgv_plus_etroit,L'information de la personne concernée qu'une décision repose sur un traitement automatisé constitue une information aux parties intéressées.
IA41,A.8.3,External reporting,tgv_plus_etroit,L'information de l'acquéreur et du Bureau de certification sur toute communication ou vente de données relève du reporting externe sur les activités du système.
IA42,A.8.5,Information for interested parties,tgv_plus_etroit,La communication à l'acquéreur de tout produit dérivé des données d'utilisation informe les parties intéressées.
IA43,A.8.5,Information for interested parties,tgv_plus_etroit,L'information de l'acquéreur sur les tierces parties intéressées par les données d'utilisation informe les parties intéressées.
IA44,A.8.5,Information for interested parties,tgv_plus_etroit,L'information de l'acquéreur sur toute analyse non sollicitée des données d'utilisation informe les parties intéressées.
IA45,A.6.2.6,AI system operation and monitoring,tgv_plus_etroit,"La fonction d'inhibition des modèles en cas de défaillance, refus ou décision administrative est un contrôle d'exploitation du système."
IA46,A.7.2,Data for development and enhancement of AI system,tgv_plus_etroit,L'interdiction d'apprentissage automatique sur les données d'utilisation sans autorisation explicite encadre les données d'amélioration du système.
IA47,A.6.2.8,AI system recording of event logs,tgv_plus_etroit,"La journalisation traçable des accès, décisions, réactions et commentaires correspond à l'enregistrement des journaux d'événements du système."
IA48,A.6.2.8,AI system recording of event logs,tgv_plus_etroit,La conservation des journaux pendant la période de contestation judiciaire des décisions relève de la gestion des journaux d'événements.
IA5,A.8.5,Information for interested parties,tgv_plus_etroit,"La fourniture sur demande des renseignements, raisons et facteurs de la décision et du droit de rectification informe les parties intéressées."
IA51,A.6.2.8,AI system recording of event logs,tgv_plus_etroit,La journalisation des données d'utilisation et des résultats accessibles à l'acquéreur relève des journaux d'événements du système.
IA52,A.6.2.8,AI system recording of event logs,tgv_plus_etroit,"Le suivi et l'extraction des approbations, changements et réactions des utilisateurs relèvent de l'enregistrement des événements du système."
IA53,A.9.2,Processes for responsible use of AI systems,tgv_plus_etroit,La consultation des résultats intermédiaires composant la décision soutient la vérification humaine dans l'utilisation responsable du système.
IA54,A.9.2,Processes for responsible use of AI systems,tgv_plus_etroit,La consultation et l'extraction des décisions intermédiaires validées ou modifiées par l'utilisateur soutiennent la supervision humaine.
IA56,A.6.2.6,AI system operation and monitoring,tgv_plus_etroit,L'encadrement de l'adaptation des modèles par apprentissage continu avec approbation de l'acquéreur relève de la surveillance du système en exploitation.
IA57,A.8.2,System documentation and information for users,tgv_plus_etroit,La présentation des sources des résultats génératifs dans l'interface alimente l'information fournie aux utilisateurs.
